StartDateTime;EndDateTime;DayDuration;NightDuration;SundayDuration
03/07/2018 21:54;03/07/2018 23:47;0,6;1,78;0
20/07/2018 19:26;20/07/2018 20:33;1,62;0;0
21/07/2018 07:34;21/07/2018 09:30;2,43;0;0
22/07/2018 12:03;22/07/2018 13:15;0;0;1,7
23/07/2018 09:37;23/07/2018 11:49;2,7;0;0
24/07/2018 03:59;24/07/2018 05:30;0;2,02;0
24/07/2018 20:38;24/07/2018 21:38;1,5;0;0
25/07/2018 13:24;25/07/2018 14:01;1,12;0;0
25/07/2018 21:26;25/07/2018 23:00;1,07;1;0
26/07/2018 19:18;26/07/2018 20:41;1,88;0;0
27/07/2018 11:01;27/07/2018 12:36;2,08;0;0
27/07/2018 13:02;27/07/2018 14:58;2,43;0;0
27/07/2018 15:14;27/07/2018 15:45;1,02;0;0
01/09/2018 13:21;01/09/2018 16:05;3,23;0;0
01/09/2018 19:57;01/09/2018 21:37;2,17;0;0
02/09/2018 02:01;02/09/2018 03:30;0;1,98;0
02/09/2018 05:53;02/09/2018 06:38;0;1,25;0
06/09/2018 21:50;06/09/2018 23:44;0,67;1,73;0
15/09/2018 16:33;15/09/2018 17:11;1,13;0;0
16/09/2018 04:28;16/09/2018 05:49;0;1,85;0
22/09/2018 10:26;22/09/2018 11:36;1,67;0;0
24/09/2018 20:58;24/09/2018 21:31;1,05;0;0
25/09/2018 19:56;25/09/2018 21:17;1,85;0;0
27/09/2018 19:09;27/09/2018 19:22;0,72;0;0
03/11/2018 11:01;03/11/2018 13:30;2,98;0;0
03/11/2018 22:28;04/11/2018 00:21;0;2,38;0
05/11/2018 23:47;06/11/2018 01:48;0;2,52;0
24/11/2018 16:30;24/11/2018 18:39;2,65;0;0
24/11/2018 19:33;24/11/2018 21:54;2,85;0;0
25/11/2018 09:39;25/11/2018 10:38;0;0;1,48
13/07/2019 20:20;13/07/2019 22:39;2,17;0,65;0
13/07/2019 22:40;14/07/2019 00:11;0;2,01;0
14/07/2019 11:37;14/07/2019 12:29;0;0;1,37
14/07/2019 13:28;14/07/2019 14:22;0;0;1,4
14/07/2019 14:22;14/07/2019 15:55;0;0;2,05
17/07/2019 08:03;17/07/2019 09:24;1,85;0;0
18/07/2019 00:12;18/07/2019 08:18;1,3;7,3;0
18/07/2019 18:48;18/07/2019 20:22;2,07;0;0
13/09/2019 21:33;13/09/2019 22:44;0,95;0,73;0
15/09/2019 15:08;15/09/2019 16:46;0;0;2,13
15/09/2019 16:46;15/09/2019 18:35;0;0;2,32
15/09/2019 19:25;15/09/2019 20:24;0;0;1,48
15/09/2019 20:24;15/09/2019 22:36;0;0,6;2,1
05/10/2019 17:05;05/10/2019 18:02;1,45;0;0
05/10/2019 22:21;05/10/2019 23:39;0;1,8;0
06/10/2019 01:33;06/10/2019 02:49;0;1,77;0
06/10/2019 17:22;06/10/2019 19:59;0;0;3,12
07/10/2019 19:31;07/10/2019 20:58;1,95;0;0
26/10/2019 15:04;26/10/2019 16:17;1,72;0;0
26/10/2019 16:55;26/10/2019 17:18;0,88;0;0
26/10/2019 17:18;26/10/2019 17:30;0,7;0;0
26/10/2019 17:30;26/10/2019 18:53;1,88;0;0
27/10/2019 00:07;27/10/2019 01:38;0;2,02;0
27/10/2019 08:15;27/10/2019 10:38;0;0;2,88
28/10/2019 18:36;28/10/2019 20:11;2,08;0;0
29/10/2019 00:20;29/10/2019 01:43;0;1,88;0
30/10/2019 11:42;30/10/2019 13:14;2,03;0;0
31/10/2019 21:01;31/10/2019 21:47;1,27;0;0
07/02/2020 22:18;08/02/2020 00:23;0;2,58;0
08/02/2020 09:24;08/02/2020 09:53;0,98;0;0
09/02/2020 19:28;09/02/2020 21:43;0;0;2,75
09/02/2020 23:40;10/02/2020 02:00;0;2,83;0
12/02/2020 20:01;12/02/2020 21:24;1,88;0;0
14/02/2020 01:42;14/02/2020 02:47;0;1,58;0
02/03/2020 20:43;02/03/2020 23:00;1,28;1;0
03/03/2020 03:24;03/03/2020 07:29;0,48;3,6;0
03/03/2020 19:00;03/03/2020 20:01;1,02;0;0
05/03/2020 22:17;06/03/2020 00:04;0;1,79;0
21/03/2020 12:37;21/03/2020 14:42;2,08;0;0
21/03/2020 15:36;21/03/2020 18:10;2,57;0;0
21/03/2020 20:13;21/03/2020 21:51;1,63;0;0
25/03/2020 05:24;25/03/2020 07:55;0,92;1,6;0
30/03/2020 08:09;30/03/2020 13:25;5,27;0;0
04/07/2020 04:14;04/07/2020 10:39;3,65;2,77;0
08/07/2020 01:44;08/07/2020 04:47;0;3,05;0
08/07/2020 23:12;09/07/2020 01:50;0;2,63;0
24/07/2020 22:49;25/07/2020 07:30;0,5;8,18;0
25/07/2020 14:54;25/07/2020 17:16;2,37;0;0
26/07/2020 05:50;26/07/2020 09:18;0;1,17;2,3
